sensor,S,epsilon,w,strategy,mae,rmse,relative_error,noise_scale_theoretical,normalized_mae,kl_divergence,kl_global_utility
temperature,1,3.0,8,sample,43.03269820960261,56.84147841357495,0.5220525787541308,280.0,0.40983522104383435,0.7615743493353254,1.9855878439171832
temperature,1,3.0,8,budget_absorption,48.52689600968286,77.96811920124242,0.6045570025001616,280.0,0.462160914377932,0.0650120929522567,3.2842234711479357
temperature,1,3.0,10,uniform,339.9968951965408,469.53359427551237,4.2357439012453675,350.0,3.2380656685384834,1.015255594571818,0.763653085169319
temperature,1,3.0,10,sample,58.15306975939059,66.09298043497638,0.7018392214180769,350.0,0.5538387596132437,1.0946478270922873,3.261718680750745
temperature,1,3.0,10,budget_absorption,343.6650244431164,347.7948511387325,4.281442130566494,350.0,3.273000232791585,4.07604551988294,3.3778338635940997
temperature,1,3.0,12,uniform,374.82916434450846,513.6962228901269,4.669690721626633,420.0,3.5698015651857946,0.9551835928316937,0.8404008262391905
temperature,1,3.0,12,sample,54.63278842802111,69.02073355942221,0.6568493247185864,420.0,0.5203122707430582,1.7446619627741655,2.316324188515946
temperature,1,3.0,12,budget_absorption,599.6594564717726,615.0552535924501,7.470667883911504,420.0,5.711042442588311,5.846350041294951,3.62550802855218
temperature,1,4.0,4,uniform,99.00408285797992,141.04570243735677,1.2334110872443818,105.0,0.9428960272188565,0.6309951661754393,0.8999042472430484
temperature,1,4.0,4,sample,24.273138155491544,30.428460368434262,0.2987133491911288,105.0,0.2311727443380147,0.7489924626466131,2.055821891645865
temperature,1,4.0,4,budget_absorption,28.58029881365207,34.93726704808899,0.3560586231992411,105.0,0.27219332203478164,3.360892629034358,3.1601299861132937
temperature,1,4.0,8,uniform,204.70565138737882,280.44877139352513,2.5502606837433617,210.0,1.9495776322607508,0.8670291684277336,0.8341367585425215
temperature,1,4.0,8,sample,23.963772517828694,34.35024223897698,0.2907172861593465,210.0,0.22822640493170185,0.11471321232213134,2.5849318252321054
temperature,1,4.0,8,budget_absorption,308.4392352679189,313.19610538122174,3.8425927652534777,210.0,2.9375165263611325,4.2017713284001275,3.431064568296122
temperature,1,4.0,10,uniform,266.35530377160643,358.3566311416952,3.3183034005729883,262.5,2.536717178777204,1.0812957788671969,0.790323864100447
temperature,1,4.0,10,sample,28.060673544266525,37.10440959942118,0.33865935804007374,262.5,0.26724450994539545,0.39518342084951563,2.3530087149081695
temperature,1,4.0,10,budget_absorption,71.76866215657338,79.99338539963229,0.8941072031099472,262.5,0.6835110681578418,5.557760488063729,3.50241123823765
temperature,1,4.0,12,uniform,319.47330178494826,443.1705912805152,3.9800571968872593,315.0,3.0426028741423643,1.0118209079594447,0.819109765814358
temperature,1,4.0,12,sample,22.938140585910126,31.426155268750147,0.2757849743292119,315.0,0.21845848177057264,0.5612679015152617,2.2868635914550994
temperature,1,4.0,12,budget_absorption,278.5401530054989,282.873054614371,3.470104495110099,315.0,2.6527633619571325,5.842646179852875,3.478646711364158
temperature,2,1.0,4,uniform,206.74406804088787,301.82376072684684,2.5756556536100916,210.0,1.968991124198932,0.7441506523317791,0.6617562880204356
temperature,2,1.0,4,sample,47.36256777905646,60.05196792624776,0.5828595856433586,210.0,0.451072074086252,0.7368507071338973,1.6747580757901472
temperature,2,1.0,4,budget_absorption,158.02657304094038,183.15726424238673,1.9687241338069696,210.0,1.5050149813422893,4.617512582832593,3.155631278326812
temperature,2,1.0,8,uniform,425.19277062793697,611.3496735708197,5.297129798787728,420.0,4.049454958361305,0.8306530903122218,0.8329251953631868
temperature,2,1.0,8,sample,67.64877629364786,89.3917013399217,0.8206833311181838,420.0,0.6442740599395034,0.3386515064623328,1.590807194984535
temperature,2,1.0,8,budget_absorption,33.207880668338596,82.38819998967418,0.4137098897120466,420.0,0.3162655301746533,0.05221928382073835,2.9226460247973467
temperature,2,1.0,10,uniform,544.7852971680512,775.6159552992094,6.787035506997171,525.0,5.1884314016004875,0.7922105996877419,0.7518004020325629
temperature,2,1.0,10,sample,66.59681575109722,83.82836542241446,0.8037453140317764,525.0,0.6342553881056878,0.5318574469768763,2.1017733206253473
