dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4123657627693686,5.399881164587047,269.99405822935233,1.0867800427012408,0.5123239436619719,0.0633061716824603,5.926056338028169,5.926056338028169,20.61828813846843,277,568,5,5077,2,traffic/intersection01
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4603462470715485,8.0,400.0,1.180669368198204,0.4577464788732394,0.06339595233826,4.0,3.936619718309859,23.017312353577427,308,568,0,77,3,traffic/intersection01/radar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.612377297877303,8.0,400.0,0.1156003996964359,0.5035211267605634,0.0636348888097139,4.0,3.936619718309859,30.618864893865148,282,568,1,1077,3,traffic/intersection01/radar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.5179529502483375,8.0,400.0,1.2043158418554731,0.5123239436619719,0.0652640553413749,4.0,3.936619718309859,25.897647512416874,277,568,2,2077,3,traffic/intersection01/radar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.5620146328323168,8.0,400.0,0.088122311137751,0.5211267605633803,0.0633357961482961,4.0,3.936619718309859,28.10073164161584,272,568,3,3077,3,traffic/intersection01/radar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4652426647468536,8.0,400.0,0.3450418852814235,0.5070422535211268,0.0639438300896634,4.0,3.936619718309859,23.26213323734268,280,568,4,4077,3,traffic/intersection01/radar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4272716650285877,8.0,400.0,0.0335036906752165,0.5123239436619719,0.0639416520859819,4.0,3.936619718309859,21.36358325142939,277,568,5,5077,3,traffic/intersection01/radar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4668531340852547,16.0,800.0,0.5327744600905713,0.4577464788732394,0.0640775197025197,2.0,1.9894366197183095,23.342656704262737,308,568,0,77,3,traffic/intersection01/lidar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.6362973963753781,16.0,800.0,0.1276756467903509,0.5017605633802817,0.0640682027524132,2.0,1.9894366197183095,31.814869818768905,283,568,1,1077,3,traffic/intersection01/lidar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.4658055400165364,16.0,800.0,0.1508989202045381,0.5070422535211268,0.0641354931719515,2.0,1.9894366197183095,23.290277000826823,280,568,2,2077,3,traffic/intersection01/lidar
traffic,speed,static,n_weighted,6,16.0,0.1,0.25,8,50.0,0.5636415762617862,16.0,800.0,1.0006557073138092,0.5193661971830986,0.0635343517123178,2.0,1.9894366197183095,28.182078813089312,273,568,3,3077,3,traffic/intersection01/lidar
