dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2063736672731441,0.7622715993283325,38.11357996641662,0.3351863577836048,0.516707143455322,0.0689301286383944,7.871210216000223,7.86330011445161,10.31868336365721,17313,35823,2,2077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2088004014731216,0.7622715993283325,38.11357996641662,0.5366087539472769,0.5176004243084052,0.0687494419912713,7.871210216000223,7.86330011445161,10.44002007365608,17281,35823,3,3077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.210288197231071,0.7622715993283325,38.11357996641662,0.3557637409194241,0.5218714233872094,0.0691307305662748,7.871210216000223,7.86330011445161,10.51440986155355,17128,35823,4,4077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2078676027263933,0.7622715993283325,38.11357996641662,0.4260594002532665,0.5157301175222623,0.0687335093113171,7.871210216000223,7.86330011445161,10.393380136319667,17348,35823,5,5077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2323954825670384,1.0163621324377767,50.81810662188884,0.456767916789049,0.5086955308042319,0.0674957334275229,7.871210216000223,7.86330011445161,11.619774128351924,17600,35823,0,77,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2297894340079888,1.0163621324377767,50.81810662188884,0.5510755529159443,0.5167629735086398,0.0672465654963494,7.871210216000223,7.86330011445161,11.489471700399443,17311,35823,1,1077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2285860476876578,1.0163621324377767,50.81810662188884,0.2719304664489144,0.5126873796164475,0.0674276628274504,7.871210216000223,7.86330011445161,11.42930238438289,17457,35823,2,2077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2325169686894411,1.0163621324377767,50.81810662188884,0.3898214616936886,0.5136085754961895,0.0673063809722051,7.871210216000223,7.86330011445161,11.625848434472058,17424,35823,3,3077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2351197720232608,1.0163621324377767,50.81810662188884,0.3231180444816668,0.5174887642017698,0.0676748285578795,7.871210216000223,7.86330011445161,11.75598860116304,17285,35823,4,4077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2304591571429875,1.0163621324377767,50.81810662188884,0.333990952304852,0.5114591184434581,0.0672283973834022,7.871210216000223,7.86330011445161,11.522957857149375,17501,35823,5,5077,1,energy
