stream_id,dataset,sensor,clamp_mode,subscription_level,scope,n_pubs,payload_bound,P_min,P_max,epsilon,w,P,strategy,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,avg_n_tau,eps_count_spent
energy|power_kw|3|energy/building01/CT13,energy,power_kw,static,3,energy/building01/CT13,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,8.27358907606206,413.6794538031029,0.7214872787650449,0.0717795342875454,1.0,0.0717795342875454,0.0
energy|power_kw|3|energy/building01/CT13,energy,power_kw,static,3,energy/building01/CT13,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,8.978489159174055,448.9244579587028,1.0833205311825398,0.0717795342875454,1.0,0.0717795342875454,0.0
energy|power_kw|3|energy/building01/CT13,energy,power_kw,static,3,energy/building01/CT13,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,9.407628375664238,470.3814187832119,0.8662909999884555,0.0717795342875454,1.0,0.0717795342875454,0.0
energy|power_kw|3|energy/building01/CT17,energy,power_kw,static,3,energy/building01/CT17,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.899158527516802,394.9579263758401,0.7268165354865456,0.9987162313016298,1.0,0.9987162313016298,0.0
energy|power_kw|3|energy/building01/CT17,energy,power_kw,static,3,energy/building01/CT17,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.974754975978827,398.73774879894137,0.85877638920705,0.9987162313016298,1.0,0.9987162313016298,0.0
energy|power_kw|3|energy/building01/CT17,energy,power_kw,static,3,energy/building01/CT17,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.04448037843499,402.2240189217495,0.9379062709847572,0.9987162313016298,1.0,0.9987162313016298,0.0
energy|power_kw|3|energy/building01/CT17,energy,power_kw,static,3,energy/building01/CT17,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.978080406436207,398.9040203218103,0.9852334653248488,0.9987162313016298,1.0,0.9987162313016298,0.0
energy|power_kw|3|energy/building01/CT17,energy,power_kw,static,3,energy/building01/CT17,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,8.003238114044809,400.1619057022404,0.9131496955399118,0.9987162313016298,1.0,0.9987162313016298,0.0
energy|power_kw|3|energy/building01/CT17,energy,power_kw,static,3,energy/building01/CT17,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.984878172188243,399.2439086094122,0.9937545243662176,0.9987162313016298,1.0,0.9987162313016298,0.0
energy|power_kw|4|energy/building01/CT1/power_kw,energy,power_kw,static,4,energy/building01/CT1/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.898403510848636,394.9201755424318,0.726613155740923,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|4|energy/building01/CT1/power_kw,energy,power_kw,static,4,energy/building01/CT1/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.981617390977083,399.0808695488541,0.8579464112791282,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|4|energy/building01/CT1/power_kw,energy,power_kw,static,4,energy/building01/CT1/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.05518649461334,402.75932473066695,0.9377198464028924,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|4|energy/building01/CT1/power_kw,energy,power_kw,static,4,energy/building01/CT1/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.981728817060072,399.0864408530037,0.9848117650101386,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|4|energy/building01/CT1/power_kw,energy,power_kw,static,4,energy/building01/CT1/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.991721718440528,399.5860859220264,0.9126897642498256,0.9987162671280664,1.0,0.9987162671280664,0.0
